AccountName,PageRank
TheAthleticUK,0.022840024520871
GraceOnFootball,0.012576826009976
StatsBomb,0.009463971769258
TheM_L_G,0.009390524149538
Blades_analytic,0.009247804351247
OptaJoe,0.008988550512725
David_Ornstein,0.008646138544651
FFScout,0.008635419487612
OfficialFPL,0.008570311544035
Worville,0.00830614651212
Zonal_Marking,0.007852943265319
MC_of_A,0.007731081937841
LetsTalk_FPL,0.007636506298771
JackPittBrooke,0.00719325746819
AshwinRaman_,0.007064270622555
GaryLineker,0.007014775173274
mixedknuts,0.006880700728591
AFHStewart,0.006709959489124
WGTA_FPL,0.006422190293486
MiguelDelaney,0.006007783218755
HemmenKees,0.006007432576483
lateriser12,0.005998029028957
gunnerblog,0.00595946937045
Stillberto,0.005919995820279
petermckeever,0.005542107866733
oilysailor,0.005245388187533
MoeSquare,0.005077877891223
EveryTeam_Mark,0.00498617220998
ffscout_az,0.004977849679879
jair1970,0.00490233056406
FPLFamily,0.004890145874948
CDEccleshare,0.004811261398691
TifoFootball_,0.00466513357744
NathanAClark,0.004634764883762
Marcotti,0.004627156715041
FFScout_Joe,0.004510024213558
Jon_Mackenzie,0.004423300461689
FFH_HQ,0.004291819405298
KierDoyle,0.004263192691453
YankeeGunner,0.004071366343664
SimonGleave,0.003994771677512
StatsPerform,0.003940312884174
FPLGeneral,0.003919253344647
rogue_wee,0.003909427787082
DannyPage,0.003891285826645
HinduMonkey,0.003890434031777
jonawils,0.00380370933339
FFScout_Mark,0.003702908852344
RorySmith,0.003650140323763
unfitforpurpose,0.003583301399877
SebSB,0.003582248270824
analytic_fpl,0.003558470018074
fkhanage,0.003501315164705
SamLee,0.003465298803975
C_Carpenter14,0.003464683501313
fbref,0.003425685994939
hailcheaters,0.00335899552793
topimpacat,0.00332968012832
DomC0801,0.003278557863901
InfogolApp,0.003139555094956
OptaPro,0.003112422809321
PlanetFPLPod,0.003089105693275
lemonwatcher,0.003045925593185
DavidSRudin,0.003020237637068
Nico_OMorales,0.003002444518879
MarkTaylor0,0.002975609598711
TiagoEstv,0.002959390979813
SamMcGuire90,0.002887823233578
DavidMunday815,0.00282238593238
DaleJohnsonESPN,0.00277693978607
BenDinnery,0.002765669942183
BenCrellin,0.002726373604989
fpl_tactician,0.002722748679578
Flannyballs,0.002716825545921
BassTunedToRed,0.002688117792798
ahopcroft13,0.002672835883474
rramesss,0.002658384072242
nandy_sd,0.002657595018222
footballfactman,0.002641962344524
gunnerpunner,0.002634697643958
MishraAbhiA,0.002625754404734
Orbinho,0.002621599105094
uapersonal,0.002610027262035
RWhittall,0.002609628290246
WhoScored,0.002486264453628
FFCommunity_,0.002464338761384
Twenty3sport,0.002463002343793
BetweenThePosts,0.002456024455233
BigManBakar,0.002452321524251
AnalysisEvolved,0.002422275851289
utdarena,0.00240090318994
LGAmbrose,0.002385328105058
charles_watts,0.002367441339529
stighefootball,0.00236518731569
ChrisSummersell,0.002360085873136
PoznanInMyPants,0.002354421344359
OptaFranz,0.002353301499415
Soccermatics,0.002336080495032
MarkOgden_,0.002323134807323
FPL_Partridge,0.002307320055168
Torvaney,0.002305860192105
ffscout_luke,0.002260424271578
mediocentr0,0.00225125305943
sportingintel,0.002183830901528
jonathanliew,0.002178043604952
SBunching,0.002165847832058
ThatDamnYank,0.002162960761311
GeorgeElek,0.00216241159632
STATS_Insights,0.002153227763993
elpivoteftbl,0.002135038433736
DanKennett,0.002122523995672
johnspacemuller,0.002106766156344
OmarChaudhuri,0.002079082005799
EuanDewar,0.002070975599877
GeoffreyDance,0.002043919752998
GNev2,0.002043488215097
ZachLowy,0.002025503089041
SkontoRigga,0.002013591274588
jburnmurdoch,0.002009789170736
FPL_Connect,0.001997324046638
GregorydSam,0.001997306282166
NinadB_06,0.001985981428967
HB_HeadCoach,0.00198103799539
smarterscout,0.001956667868726
FPL_Salah,0.001942000256467
lucyhighnett,0.001936969117109
HarryMaguire93,0.001935230330437
fplreview,0.001934588670858
etmckinley,0.001932939640327
BTLvid,0.00192762732272
oh_that_crab,0.001925390853827
SaturdayOnCouch,0.001923970564112
ElfFpl,0.00190874842313
ScoutedFtbl,0.001901577583091
MattDoyle76,0.001888196780642
FC_rstats,0.001868695295379
JaviOnData,0.001846799872118
lgopfelix,0.001845334657769
WindyCOYS,0.001830359199579
USMNTvideos,0.001821340285926
stujames75,0.001815690837076
abhisheksh_98,0.001812291494452
21stClub,0.001785095065312
JoremSigurd,0.001783619712411
DarrenArsenal1,0.001768450083061
Millar_Colin,0.001763698549899
OptaSuit,0.001723019644328
GriffinFtbl,0.001713181041213
FPLEditor,0.001694440742161
StatsOnTheT,0.001688085577472
AllStatsArentWe,0.001671256903793
lgbtqfc,0.001667388513992
OptaJose,0.0016599066152
insightMrkt,0.001652482535279
EduardoHagn,0.001638186335508
MetricaSports,0.001628903592975
neilcharles_uk,0.001627331971524
watke_,0.001618933905504
ground_guru,0.001608887845951
fpl_chef,0.001573995765303
jackjcollins,0.00156680867
counterattack9,0.001560417945469
KieranMaguire,0.001557980423815
11tegen11,0.001556596988977
drbenmcnair,0.001551801083426
mostlyinane,0.001548753517843
thehuwdavies,0.001540126263273
Wideoverload,0.001520853568152
bayer04_en,0.001491878839817
BarcaInnoHub,0.00148825475567
Reuser5,0.001482167174818
ZRAFC,0.001481367503283
GoalAnalysis,0.001461646449499
Banouby,0.001451481779514
OptaPaolo,0.001448432753054
babuyagu,0.001439317106889
1Walid1,0.00143459884793
ScoutXd1,0.001431766888249
FanTeamOfficial,0.001428077751203
TennisAusGIG,0.001424235540105
OwenJamesBrown,0.001420080148869
spielvercom,0.00140631751539
roneildinho,0.001403527468589
soccerquant,0.001396981900112
alexfrco,0.001396078791228
Fergi222,0.001395723339219
ChrisWheatley_,0.001388329788848
CholoColcho,0.001379946688144
EightyFivePoint,0.001378813061262
FMAnalysis,0.001367722638127
SanchoQuinn,0.001367157315311
_PaulHayward,0.001361731914083
devinpleuler,0.001349265364298
fplchancer,0.001323356692257
DAHughes_,0.001322803934613
Goalimpact,0.001322081165304
Scribblr_42,0.001319140397657
Gegenpressing91,0.001311652655359
FPL_Rockstar,0.001309577777847
StatsZone,0.001304632289423
ReneMaric,0.001298370171556
FantasyFootyFix,0.001298353764582
GuillemBalague,0.001282546179619
FPLCruyff74,0.001275575153151
FPL_Heisenberg,0.001271883774041
philmcnulty,0.001266681492171
greenallefc,0.001265445546779
SimonBrundish,0.001260989686714
TomGFootball,0.001250110521881
SebC__,0.001247769048848
analytic_footy,0.001246991166171
Matt_Furniss,0.001246894683807
chewingthecoca,0.001236129082633
FPLStag,0.001234886743325
octonion,0.001228326225022
martinlaurence7,0.001224512738561
FIVE__YARDS,0.001216350444246
willow1886,0.001205426231834
goonerdave66,0.001204200611543
AFCAMDEN,0.001200539782406
brunodagnino,0.001196870334423
xGPhilosophy,0.001196251491565
SJConroy17,0.001192333878931
OptaJean,0.001188294938039
DrMukherjeeS,0.001184618189018
SwissRamble,0.001183227077282
mattletiss7,0.001173779758006
AdinOsmanbasic,0.001161746848593
FPL_Chase,0.001154512535273
RyanSoccerAA,0.001150920906822
FPLHints,0.001150542507432
FPLresearch,0.00114212500521
JongsmaJongsma,0.001138134200857
sid_lambert,0.001138049935404
G4gey,0.001122618227849
EuroClubIndex,0.001113055128306
Jhdharrison1,0.001109693825798
ThatGarateyjc,0.001098174319138
JanVanHaaren,0.001095381387462
StatHunting,0.001093168948286
geoffbanksbet,0.001080441723377
BetGeoffBanks,0.001069974858461
TheFPLPrince,0.001067945985402
FPL_ElStatto,0.001064659222912
StatifiedF,0.001058310439127
utd_Visionary,0.001056680375272
_Grimanditweets,0.001050757252767
grantdesmidt,0.001047565728806
FMLFPL,0.001043286602015
FantasianPL,0.001039153712554
jcperez_,0.001032251801534
Tactical_Times,0.001030845944667
lastrowview,0.001017165551485
Sharpovic,0.001017025551959
TikiTakaConnor,0.001015319600092
blharreld,0.000991366268301
TedTalksFPL,0.000984949980286
Wyscout,0.000983649682126
away_goals,0.000977077936621
FplStatsdan,0.000975860897206
FPL_SOS,0.00097257342419
VenkyReddevil,0.000971855069599
StatmanDave,0.000971280333236
laythy29,0.000970461674935
statlurker,0.000967611812029
DeanJonesBR,0.00096312351165
RoyalStatSoc,0.00095914695588
FFH_Will,0.000957569825305
stianwestlake,0.000951175259778
OptaJohan,0.00094933243222
LukeBornn,0.000946344097262
scuffedpod,0.000942713940291
ExpectedChelsea,0.000935787148702
FPL_Audit,0.000932300908952
Joelissimmo,0.00092692576137
LeGrove,0.000923520844685
rwohan,0.000921790883803
AlbionAnalytics,0.000918479323854
90sfootball,0.000917745211498
erikelias_,0.000917550267022
Adroit_Cadet,0.000916751362419
TheAFCBeII,0.000913300455921
thevideoanalyst,0.00091002729754
theFPLkiwi,0.000908138032926
NickTriggerlips,0.000904673204176
sistoney67,0.00089682995123
ryanbahia,0.000896086665927
TacticalFouling,0.000894216040563
MattyAnselmo,0.000892668781947
jonollington,0.000891336122696
ThatGooner,0.00088904927057
cc_eckner,0.000886800713461
FB_WHISPERS,0.000882374693271
UnaiEmery_,0.00088110378708
TotalAnalysis,0.000880933596518
GarryGelade,0.000876982347588
AnalyseSport,0.000874214680699
FPLMatthew,0.000872958213684
_reecechambers,0.000870899203715
tomvictor,0.000869558627406
JmooreQuakes,0.000868661253476
DoublePivotPod,0.000866746976181
SharkoTennis,0.000853452505312
Steviegrieve,0.00084484884981
3AmigosFPL,0.000841958694011
the_spearman,0.000834132846137
cainsmithMU,0.00083030920934
AlexShawESPN,0.000829565389622
dcervone0,0.000824522168549
Tacticsplatform,0.000818444453517
GeoffArsenal,0.00081829280284
PaddyArsenal,0.000816589508868
TiotalFootball,0.000815145167337
ATPMediaInfo,0.000814337490737
TBBodell,0.000809063860271
10akhil,0.00080001169133
afcDW,0.000799419527675
SwansAnalytics,0.000799119687614
Caley_graphics,0.000799042541826
AttackingCB,0.000798565956757
balders93,0.00079854405028
LeeGunner82,0.000794726211674
FPL_JJ,0.000791837813573
Shaharyarsays,0.00079151790088
1kevincampbell,0.00079019991482
FFPundits,0.000787892378548
fcbusiness,0.000786755025019
FPLRoosta,0.000785354008319
JMftbl,0.000781653768008
fplfantasyguide,0.00078012044884
ChrisLuv,0.000779251587062
WillTGM,0.000779004475829
FPLStatus,0.000775236913453
TPiMBW,0.000773815525011
Reunewal,0.000768986342186
kickarseHD,0.000767472924988
DistanceCovered,0.000762906635432
AndyHa_,0.000761429513376
robertnhanson,0.000760437471476
experimental361,0.00076015546374
SciSportsNL,0.000759812434695
karun1710,0.000756626609296
PatrickTimmons1,0.000755860984004
TacticoModerno,0.000752951474751
FplAuto,0.000750846998346
thirtyfeet,0.00073883748247
numberstorm,0.000738619987644
UtterlyTC,0.000737008277281
EricLaurie,0.000734271505755
MartinRafelt,0.000729878505917
Advt_played,0.000728990139825
timpayton,0.000728244604523
ed_aarons,0.000727580908782
blakewooster,0.000727567981082
joe_mulberry,0.000723969379059
colintrainor,0.000722723358836
OsmanZtheGooner,0.000721318126362
FlaFu_tbol,0.000718527146584
TooGoodFPL,0.00071851680192
CoachesVoice,0.000717325706149
FPL_vs,0.000713726076711
nickgoff79,0.000711225028976
markgoldbridge,0.000709521051285
Priya8Ramesh,0.000709396719325
JamesMilner,0.000708684094223
FantasyYIRMA,0.000707925065545
patricklucey,0.000694499957742
903124S,0.000693313505934
Kieran_B91,0.000692038143206
msceducation,0.000690178091675
PenaltyKickStat,0.000689766853281
mike_jeski,0.000689601074434
TheAFCnewsroom,0.000688953650975
JEgersdorff,0.000683217663673
BenSuttonJackal,0.000682542962554
SoccerSaber,0.00068206965905
Tw3rcazette,0.000680509420274
LutonAnalytics,0.000680370552596
AnEnglishGoat,0.000679286106887
Durchiga,0.000675054748548
pwawrzynow,0.000674163086198
ParthAthale,0.000673207547633
FPLPriceChanges,0.000668938657398
reverse_ball,0.00066862631426
JonnyWhitmore14,0.00066693603343
clubelo,0.000661637580631
CatenaccioIG,0.000657566210164
OliPriceBates,0.000649692285877
DaveLaidig,0.00064885620591
trevillion_,0.000643128129538
Macho_Grande1,0.000642508525294
danzn1,0.000642104958892
pkwestel,0.000641707574081
MichaelKeshani,0.000636222062929
barCOLEYna,0.000635849097148
FPLBrain,0.000635654485355
MarkOHaire,0.000635521728467
olivermpw_,0.00063467213499
TheFalseNein,0.000633382496722
FootballJOE,0.000631743071451
unravelsports,0.000627719770749
biscuitchaser,0.000625426649366
TacticalRole,0.000624762152747
TheSquidBoyLike,0.000624246211897
PurelyFootball,0.000623992576991
Sport_Witness,0.000622602950931
FootyScribblers,0.000622369778837
EBL2017,0.000619680525699
Tussendelinies,0.000616384978947
FanalyticsPod,0.000616344419739
Mladen_Sormaz,0.000614765490993
wiscostretford,0.00061260530544
FF_Vader,0.000611838825387
arseblagger,0.000611163841539
LutonTown,0.000601969769597
_FPLtips,0.000598151863792
12Xpert,0.00059634408883
HudlAnalysis,0.000595767325823
FPL_gaffer,0.000595719544079
ARDataAnalysis,0.000594843127228
JCourier1,0.00059442367627
cchappas,0.000592418013544
Sportlogiq,0.000590316826607
SteveBeregi,0.000586968448134
TheKopHQ,0.000583526716567
MarchSimon,0.000582734421219
joedgallagher,0.000581767258655
NutmegRadio,0.000578657965123
JakeEntwistle,0.000574733427819
SemperFiArsenal,0.000571145387265
Legomane_FPL,0.000567039102798
TomPayneftbl,0.000566854960114
FPL_Tim,0.000564587734212
jameso_12,0.000562931692778
AIUnderPressure,0.000561230256498
andrew_puopolo,0.000557621418616
mr_le_fox,0.00055698616084
ToffeeAnalysis,0.000556979556342
kevinminkus,0.000554242904774
markrstats,0.000552203979286
TomDecroos,0.000552136984604
JoshuaABull,0.000551312262789
FootballSlices,0.000548592191457
MessiSeconds,0.000548341052617
IneffectiveMath,0.000547527463224
trippier2,0.000547159892927
AndyGlockner,0.00054651866404
ArsenalColumn,0.000544528438775
Fanteam_UK,0.000544372889246
Dunmoreorless,0.000539645630047
fussballtwit,0.000539386803391
FPLAcademica,0.000537989520013
HandofArteta,0.000537385953642
ArsenalTerje,0.000536505941833
MaitlandNiles,0.000536445643447
MatrixFpl,0.000534992520596
JamesTippett,0.0005344783025
SteMc74,0.000533346728378
FC_Python,0.000533309399939
HLTCO,0.000531302031369
R_by_Ryo,0.000530662056799
PaulMacdFC,0.000530605944529
MrArsenicTM,0.000529448772021
luishusier,0.000528205999667
AbdelBeheri,0.000528190393638
PieterZwartNL,0.000527815568449
brendankent,0.000526286751712
Matt5cott,0.000524963837457
LacaZte,0.000524331714585
FPLJossy,0.000523788974128
LotteBransen,0.000520596214163
FPLShark,0.000516709473672
uncertainty_pod,0.000515049952851
Artekkers,0.000514281929719
louorns,0.000513291789164
RPftbl,0.000512700899008
AAllenSport,0.00051210609108
matchcharting,0.000509966633948
tongueinloftus,0.000508674824355
Eoin_OBrien_,0.000507299919842
From_The_Wing,0.000503996469404
MattKearney92,0.000501082051759
noverheul,0.000499678023664
NilsMackay,0.000498381249622
DymondFormation,0.000497086298428
bertinbertin,0.0004930660542
Robertson_SJ,0.00049212949222
JWTelegraph,0.000491667719855
JamieDalton82,0.000491585457207
MartonBalla1,0.000491396354868
FPLCanuck,0.000489897714471
DyslexicDdue,0.000486198556246
RotationFPL,0.000484818512698
jessejdavis1,0.000483603478023
360Sources,0.000479510195056
LUFCDATA,0.000478107081626
dperdomomeza1,0.000476339784559
stadio,0.000474800850622
robwhickman,0.000474127768585
FutbolBible,0.000472191123667
PaulCarr,0.000472109843016
benjaminpugsley,0.000470455686311
soccermetrics,0.000469979572153
Gameweek38,0.000466305851513
DanielKatona17,0.000462867087021
VoicingFootball,0.000461372849584
p_robberechts,0.000460122074801
skypodcast,0.000459555991104
FPL_Diagnosis,0.000458016492293
FPLdepression,0.000457954744472
PositiespeI,0.000452239428188
AndyForrester1,0.000450298160631
PremierFPLTools,0.000450022850762
raulpelaez_,0.000448805615589
benlyt,0.000448599416925
BrianPrestidge,0.000444998523611
thecomeonman,0.000442807666657
sportdw,0.000442775131813
curtiswoodhous8,0.000440903686737
TheScoutIssue,0.000438974147574
shergul,0.000437317791341
RowzReport,0.00043560175569
penaltyblog,0.000433175894125
